dag_id,submit_ms,finish_ms,makespan_ms,total_tasks,edge_tasks,cloud_tasks,total_net_ms,total_wan_bytes
dag_ad36e74386b9411c,311979,391653,79674,62,57,5,0.00,-1
dag_1f23f3a4c41b4836,290674,447590,156916,62,53,9,0.00,-1
dag_1b8611f4a71b4f21,216800,487867,271067,62,49,13,0.00,-1
dag_1f52bd4c90834fa8,360567,514076,153509,62,54,8,0.00,-1
dag_b239d297ae404d86,257964,529022,271058,62,50,12,0.00,-1
dag_4e1a04d2655541f2,309538,536349,226811,62,49,13,0.00,-1
dag_c4506bff0691461e,411601,538396,126795,62,55,7,0.00,-1
dag_26efd09e7e754609,421232,670709,249477,62,54,8,0.00,-1
dag_5d27d0b9ef574f30,445937,694634,248697,62,53,9,0.00,-1
dag_38ec206859024673,364301,782836,418535,62,55,7,0.00,-1
dag_2ef9fa6af23a4570,531091,813468,282377,62,54,8,0.00,-1
dag_475c47767ca54a4b,239931,823255,583324,63,55,8,0.00,-1
dag_7aa23edc3f9b4d7f,663547,926486,262939,62,57,5,0.00,-1
dag_4afcd44eea2e4627,677740,990286,312546,62,58,4,0.00,-1
dag_0605d9f01775453c,638666,1028259,389593,63,54,9,0.00,-1
dag_c4fc9dded3924f0a,832179,1117889,285710,63,57,6,0.00,-1
dag_c939c36c249f4616,852984,1153577,300593,62,57,5,0.00,-1
dag_7eeaa25eb2024286,846479,1163404,316925,62,55,7,0.00,-1
dag_3d98a7542f9e4c06,665144,1183612,518468,63,56,7,0.00,-1
dag_acef7e389a114bcc,833139,1192210,359071,63,55,8,0.00,-1
dag_c64c22753ae24b03,804651,1202035,397384,63,58,5,0.00,-1
dag_475955bb70184b83,877914,1250237,372323,62,52,10,0.00,-1
dag_1ce8e12b1d2d4aba,693862,1279590,585728,62,54,8,0.00,-1
dag_72c99ec3b9a54445,788640,1304056,515416,63,58,5,0.00,-1
dag_58e29ceb412c47dc,1045271,1319692,274421,62,53,9,0.00,-1
dag_f24b247ca10d45e2,816931,1359069,542138,63,59,4,0.00,-1
dag_df9fc3aa30db4ac6,955731,1365082,409351,62,54,8,0.00,-1
dag_9c3a4b173dc84179,1024634,1365644,341010,62,54,8,0.00,-1
dag_73f06810d4f94121,1048269,1389436,341167,62,55,7,0.00,-1
dag_06313785c32c493a,1253795,1471023,217228,62,50,12,0.00,-1
