dag_id,task_id,task_type,dag_submit_ms,task_ready_ms,scheduled_ms,start_ms,finish_ms,tier,datacenter_id,vm_id,duration_ms,length_mi,proj_edge_sec,proj_cloud_sec,input_bytes,output_bytes,gpu_mem_mb,gpu_util,queue_wait_ms,net_propagation_ms,net_tx_ms,net_total_ms
dag_155022839f4f4a4b,lora_load_a2b980c6,lora_load,307360,307360.00,307360.00,307361.42,1779419.03,1,9,6,3680.13,1472052,1472.052,3.680,961697109,96169710,1834.29,0.58,1.42,-1,-1,0.00
dag_d45ad95bbb6b4a43,lora_load_e8e017eb,lora_load,311986,311986.00,1779419.03,1779420.46,3426101.08,1,11,10,4116.69,1646675,1646.675,4.117,1354549290,135454929,2583.60,0.90,1.43,-1,-1,0.00
dag_c4e115a430fa4905,vae_encode_ddb2bb60,vae_encode,315592,315592.00,3426101.08,3426102.51,3625964.13,1,6,0,499.64,199856,199.856,0.500,983802628,98380262,1876.45,0.85,1.43,-1,-1,0.00
dag_b18505359df14b9d,vae_encode_9483cd05,vae_encode,322134,322134.00,3625964.13,3625965.56,3864475.17,1,6,0,596.26,238504,238.504,0.596,1249005492,124900549,2382.29,0.92,1.42,-1,-1,0.00
dag_820449270a0a4b03,vae_encode_4cd5fa62,vae_encode,325907,325907.00,3864475.17,3864476.60,4079454.22,1,6,0,537.43,214972,214.972,0.537,926453624,92645362,1767.07,0.64,1.43,-1,-1,0.00
dag_71369a2d1e67416c,vae_encode_aefc9db1,vae_encode,326395,326395.00,4079454.22,4079455.64,4253441.26,1,9,6,434.95,173980,173.980,0.435,1086611492,108661149,2072.55,0.67,1.42,-1,-1,0.00
dag_5734d644f5d6430d,vae_encode_9f2bdf85,vae_encode,336113,336113.00,4253441.26,4253442.68,4427949.29,1,13,14,436.26,174505,174.505,0.436,1101088631,110108863,2100.16,0.40,1.42,-1,-1,0.00
dag_a83e7588d2ba4c5c,vae_encode_790374ee,vae_encode,336860,336860.00,4427949.29,4427950.71,4664971.33,1,12,12,592.54,237015,237.015,0.593,1062710012,106271001,2026.96,0.88,1.42,-1,-1,0.00
dag_31109b7272c24ebc,lora_load_0c34fcb5,lora_load,346320,346320.00,4664971.33,4665041.47,4668101.99,2,1000,16,2986.25,1194499,1194.499,2.986,862301964,86230196,1644.71,0.57,70.14,-1,-1,0.00
dag_ed609c5475e04c73,vae_encode_d8223a16,vae_encode,348246,348246.00,4668101.99,4668172.20,4668865.20,2,1000,16,618.63,247452,247.452,0.619,1116799711,111679971,2130.13,0.68,70.21,-1,-1,0.00
dag_732e7570fa5c4671,lora_load_41938efe,lora_load,353187,353187.00,4668865.20,4668866.63,5151964.24,1,8,4,1207.73,483092,483.092,1.208,747529590,74752959,1425.80,0.42,1.42,-1,-1,0.00
