scenario,edge_devices_file,applications_file,policy,workload,capacity,vm_type
DAG_APP_AMPLE_1K_BALANCED_HOMO_REMOTE_RL,edge_ai_devices_scaled.xml,applications_dag_stable_diffusion.xml,REMOTE_RL,AMPLE_1K,BALANCED,HOMO
DAG_APP_AMPLE_1K_BALANCED_HOMO_GLOBAL_BEST_FIT,edge_ai_devices_scaled.xml,applications_dag_stable_diffusion.xml,GLOBAL_BEST_FIT,AMPLE_1K,BALANCED,HOMO
DAG_APP_AMPLE_1K_BALANCED_HOMO_EDGE_FIRST_GLOBAL,edge_ai_devices_scaled.xml,applications_dag_stable_diffusion.xml,EDGE_FIRST_GLOBAL,AMPLE_1K,BALANCED,HOMO
DAG_APP_AMPLE_1K_BALANCED_HETERO_REMOTE_RL,edge_ai_devices_scaled_hetero.xml,applications_dag_stable_diffusion.xml,REMOTE_RL,AMPLE_1K,BALANCED,HETERO
DAG_APP_AMPLE_1K_BALANCED_HETERO_GLOBAL_BEST_FIT,edge_ai_devices_scaled_hetero.xml,applications_dag_stable_diffusion.xml,GLOBAL_BEST_FIT,AMPLE_1K,BALANCED,HETERO
DAG_APP_AMPLE_1K_BALANCED_HETERO_EDGE_FIRST_GLOBAL,edge_ai_devices_scaled_hetero.xml,applications_dag_stable_diffusion.xml,EDGE_FIRST_GLOBAL,AMPLE_1K,BALANCED,HETERO
DAG_APP_AMPLE_1K_EDGE_EXCESS_HOMO_REMOTE_RL,edge_ai_devices_edge_excess.xml,applications_dag_stable_diffusion.xml,REMOTE_RL,AMPLE_1K,EDGE_EXCESS,HOMO
DAG_APP_AMPLE_1K_EDGE_EXCESS_HOMO_GLOBAL_BEST_FIT,edge_ai_devices_edge_excess.xml,applications_dag_stable_diffusion.xml,GLOBAL_BEST_FIT,AMPLE_1K,EDGE_EXCESS,HOMO
DAG_APP_AMPLE_1K_EDGE_EXCESS_HOMO_EDGE_FIRST_GLOBAL,edge_ai_devices_edge_excess.xml,applications_dag_stable_diffusion.xml,EDGE_FIRST_GLOBAL,AMPLE_1K,EDGE_EXCESS,HOMO
DAG_APP_AMPLE_1K_EDGE_EXCESS_HETERO_REMOTE_RL,edge_ai_devices_edge_excess_hetero.xml,applications_dag_stable_diffusion.xml,REMOTE_RL,AMPLE_1K,EDGE_EXCESS,HETERO
DAG_APP_AMPLE_1K_EDGE_EXCESS_HETERO_GLOBAL_BEST_FIT,edge_ai_devices_edge_excess_hetero.xml,applications_dag_stable_diffusion.xml,GLOBAL_BEST_FIT,AMPLE_1K,EDGE_EXCESS,HETERO
DAG_APP_AMPLE_1K_EDGE_EXCESS_HETERO_EDGE_FIRST_GLOBAL,edge_ai_devices_edge_excess_hetero.xml,applications_dag_stable_diffusion.xml,EDGE_FIRST_GLOBAL,AMPLE_1K,EDGE_EXCESS,HETERO
